IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP10;IP_PROP11;IP_PROP14;IC_GROUP0;IC_GROUP1;IC_GROUP2
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://developer.mozilla.org/en-US/docs/Web/HTML;Документация от MDN;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://developer.mozilla.org/en-US/docs/Web/HTML; Курсы от HTML Academy;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://developer.mozilla.org/en-US/docs/Web/HTML;Learnyouhtml;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://htmlacademy.ru/;Документация от MDN;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://htmlacademy.ru/; Курсы от HTML Academy;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://htmlacademy.ru/;Learnyouhtml;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://github.com/denysdovhan/learnyouhtml;Документация от MDN;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://github.com/denysdovhan/learnyouhtml; Курсы от HTML Academy;;;
67;Html 5;67;Y;;;;HTML — (от англ. HyperText Markup Language — «язык гипертекстовой разметки») — язык разметки, определяющий структуру веб-страниц. Большинство веб-страниц в интернете содержат описание разметки на языке HTML.;text;;;text;;500;;Trainee;https://github.com/denysdovhan/learnyouhtml;Learnyouhtml;;;
68;CSS (flex, grid);68;Y;;;;"CSS — формальный язык описания внешнего вида документа, написанного с использованием языка разметки. Именно CSS делает Ваш HTML ""красивым"".";text;;;text;;500;;Trainee;;;;;
